 ,TÊN,LỊCH CHIẾU,Nguồn,UPLOADER,DESIGNER,Chưa up,Đang up,Hoàn thành
616,Chuyện tình Chàng Idol,Chưa Có lịch,http://phimbathu.com/chuyen-tinh-chang-idol-3992.html,,chưa có tập mới,,,xong 
279,Người tình ánh trăng,,https://www.youtube.com/watch?v=ytzMiSP8epI&list=PLxKLMN7WdG5BjiWroWCl-93KBtn_66SFR,,Say,,Nhiệm,xong
556,Tình yêu diệu kỳ,20h30 t6-t7,http://phim14.net/phim/tinh-yeu-dieu-ky_fantastic.8368.html,,Say,,Nhiệm,xong
558,Hạnh phúc bất ngờ,21h00 t4-t5,http://phim14.net/phim/hanh-phuc-bat-ngo.8434.html,,Say,,,xong
287,Bốn chàng thợ may,19h55 t7-cn,https://www.youtube.com/watch?v=TedPU_ur4lI&list=PLxKLMN7WdG5CGOZPbLmhA8Zhn_lWkcSHI,,Say,bản quyền,Nhiệm,
555,Tình yêu cuối cùng,22h00 t7-cn,http://phim14.net/phim/tinh-yeu-cuoi-cung.8327.html,,Say,bản quyền,,
284,Hoa trong ngục,21h45 t7-cn,https://www.youtube.com/watch?v=lshAUtI9xUE&list=PLxKLMN7WdG5BsyPvhLMSJng-RWljIAAF7,,,bản quyền,Nhiệm,
660,Cổ tích nơi đại dương,22h00 16/11/2016,http://bilutv.com/xem-phim/phim-co-tich-noi-dai-duong-the-legend-of-the-blue-sea-2016-2854,,Say,bản quyền,,
550,Người Lạ Ngọt Ngào,22:00 t2-t3,http://bilutv.com/phim/nguoi-la-ngot-ngao-3259.html,,Say,,ep 12,
609,Bố Là Tất Cả, 11h cn-t2,http://phimbathu.com/bo-la-tat-ca-5286.html,,Say,,ep 5,
696,Hạnh Phúc trời ban,,http://phimbathu.com/hanh-phuc-troi-ban-5425.html,,Say ,tập 3 rời,ep 4,
551,Ngọn gió đời tôi,20h40 t7-cn,http://phimbathu.com/ngon-gio-doi-toi-4247.html,,Say,,ep 28,
554,Gab Soon của tôi,21h00 t7-cn,http://bilutv.com/phim/gab-soon-cua-toi-2835.html,,Say,,ep 29,
608,Người Tùy Tùng,11h t7-cn,http://phimbathu.com/nguoi-tuy-tung-4875.html,,Say,,ep 8,
610,Cô Vợ Ngoại Tình ,16h t6-t7,http://phimbathu.com/co-vo-ngoai-tinh-5057.html,,Say,,,xong
612,Quý Cô Thô Lỗ,11h t3-t4,http://phimbathu.com/quy-co-tho-lo-5027.html,,,,ep 10,
641,Cô Nàng Cử Tạ Kim Bok Joo,,http://phim14.net/phim/co-nang-cu-ta-kim-bok-joo.8503.html,,Say,,ep 6,
642,Geum Bi Của Cha,,http://phim14.net/phim/Geum-bi-cua-cha.8500.html,,Say,,ep 6,
643,Siêu Đầu Bếp,,http://phimbathu.com/sieu-dau-bep-5309.html,,Say,,ep 8,
695,Tình Yêu Quyền Lực,,http://phimbathu.com/tinh-yeu-quyen-the-5331.html,,,,ep 4,
561,That Sun in the Sky,sắp chiếu,http://bilutv.com/phim/that-sun-in-the-sky-2941.html,,,,,
764,Hong Gil Dong,,http://bilutv.com/xem-phim/khoai-dao-hong-gil-dong-hong-gil-dong-2008-tap-16-2205_e22838.html,,,,,xong
768,Goo Famil Book - Cửu Gia Thư,,http://bilutv.com/xem-phim/cuu-gia-thu-goo-family-book-2013-tap-24-1063_e12392.html,,,,,xong
769,Bộ phim để đời,,http://phim14.net/phim/bo-phim-de-doi.8507.html,,,,,xong
771,Nhịp đập trái tim 2,,http://phim14.net/phim/nhip-dap-trai-tim-2_thumping-spike-2.8420.html,,,,,xong
772,Nhịp đập trái tim 1,,http://phim14.net/phim/nhip-dap-trai-tim.8254.html,,,,,xong
770,Tiếng gọi con tim,,http://phim14.net/phim/tieng-goi-con-tim_the-sound-of-heart.8501.html,,,,ep 8,
