ID,TÊN,LỊCH CHIẾU,NGUỒN,UPLOADER,DESIGNER,Chưa up,Đang up,Hoàn thành
627,Sứ Gỉa Địa Ngục (2016),bị ngưng chiếu,http://bilutv.com/phim/su-gia-dia-nguc-2016-3242.html,,,,,
628,Mối Hận Truyền Kiếp (2016),,http://bilutv.com/phim/moi-han-truyen-kiep-2016-2342.html,,,,,xong
629,Bắt Lấy Thiên Thần,,http://bilutv.com/phim/bat-lay-thien-than-2320.html,,,,,xong
630,Bộ Ba Sở Thú,,http://bilutv.com/phim/bo-ba-so-thu-2577.html,,,,12,
631,Công Thức Yêu Của Bếp Trưởng,,http://bilutv.com/phim/cong-thuc-yeu-cua-bep-truong-3215.html,,,,3,
632,Chàng Hoàng Tử Trong Mơ (Phần 5),,http://bilutv.com/phim/chang-hoang-tu-trong-mo-phan-5-2115.html,,,,2,
633,Ghét Anh Yêu Anh,bị ngưng chiếu,http://bilutv.com/phim/ghet-anh-yeu-anh-3112.html,,,,,
634,Yêu Người Đào Hoa,,http://bilutv.com/phim/yeu-nguoi-dao-hoa-2064.html,,,,18,
636,Như Thuở Ban Đầu,,http://bilutv.com/phim/nhu-thuo-ban-dau-3218.html,,,,,xong
683,Yêu Giùm Cô Chủ,,http://bilutv.com/phim/yeu-gium-co-chu-3057.html,,,,11,
700,"Tình yêu không có lỗi, lỗi ở bạn thân",,http://v.nhaccuatui.com/phim/tinh-yeu-khong-co-loi-loi-o-ban-than-2.NgPiygnG4tto.html?key=SFHk7Vqy6IJlY,hongthiennu,,,,xong
602,Ngoại tình ,,https://www.youtube.com/watch?v=wFd3SxiiQXM,,,"lỗi tập 37,38",,
736,Bóng Hình Trong Tim,,http://bilutv.com/phim/bong-hinh-trong-tim-3004.html,hongthiennu,,,11,
742,Sắc Thái Tình Yêu,,http://bilutv.com/phim/sac-thai-tinh-yeu-2353.html,,,,11,
743,Chàng trai trong mưa,,http://bilutv.com/phim/chang-trai-trong-mua-2544.html,,,,4,
757,Phòng riêng 2,,http://bilutv.com/phim/phong-rieng-2-2578.html,,,,6,
804,Mali - Cô nàng rắc rối,,http://bilutv.com/phim/mali-co-nang-rac-roi-2987.html,,,,10,
810,Ước hẹn vương triều,,http://bilutv.com/phim/uoc-hen-vuong-trieu-2594.html,,,,2,
811,Trốn thoát,,http://bilutv.com/phim/tron-thoat-2370.html,Đức,,,11,
814,Đôi cánh vàng,,http://bilutv.com/phim/doi-canh-vang-2580.html,Đức,,,4,
754,Nữ Thần Rắn,,http://phim14.net/xem-phim/nu-than-ran_nakee.8495.html,Đức,,,,Xong
795,Trò Lừa Tình Yêu,,http://phim14.net/phim/tro-lua-tinh-yeu.8510.html,Đức,,,,Xong
796,Yêu Thiệt Mà Mẹ Hổng Ưng ,,http://phim14.net/phim/yeu-thiet-ma-me-hong-ung.8511.html,Đức,,,1,
797,Chinh Phục Trái Tim Hoàng Tử ,,http://phim14.net/phim/chinh-phuc-trai-tim-hoang-tu.8508.html,Đức,,,,Xong
798,Cuộc Chiến Với Nhân Tình,,http://phim14.net/phim/danh-chinh-ngon-thuan.8485.html,Đức,,,,Xong
800,Cô Nhóc Hay Quên,,http://phim14.net/phim/co-nhoc-hay-quen.8490.html,Đức,,,,Xong
