ID,TÊN,LỊCH CHIẾU,NGUỒN,UPLOADER,DESIGNER,Chưa up,Đang up,Hoàn thành
580,Nếu Ốc Sên Có Tình Yêu,tối t3-t5,http://bilutv.com/phim/neu-oc-sen-co-tinh-yeu-1909.html,SQuirrel,Lâm,,,xong
501,Truy tìm ký ức,tối t2-t3,http://bilutv.com/phim/truy-tim-ky-uc-2364.html,SQuirrel,Lâm,,24,
585,Định Chế Hạnh Phúc,tối t2-t6,http://phimbathu.com/dinh-che-hanh-phuc-4974.html,SQuirrel,,,,xong
586,Pháp Y Tần Minh,tối t5,http://bilutv.com/phim/phap-y-tan-minh-3223.html,SQuirrel,,,,xong
588,Mật thám hoan hỷ,,http://phimbathu.com/mat-tham-hoan-hi-5074.html,SQuirrel,,,34,
589,Đại Tiên Nha Môn,,http://phimbathu.com/dai-tien-nha-mon-3505.html,SQuirrel,,,,xong
590,Trưởng Thành,,http://phimbathu.com/truong-thanh-5017.html,SQuirrel,,,23,
591,Tiểu Biệt Ly,sáng mỗi ngày,http://phimbathu.com/tieu-biet-ly-4762.html,SQuirrel,,,14,
639,Cuộc chiến nộ giang,,http://phimbathu.com/cuoc-chien-no-giang-3873.html,,,,13,
640,Đại Hiệp Nhật Thiên,,http://phimbathu.com/dai-hiep-nhat-thien-5006.html,SQuirrel,,,14,
647,Chấp niệm sư,,http://phimbathu.com/chap-niem-su-5022.html,SQuirrel,,,3,
648,Nữ Cảnh Sát và Cảnh Khuyển,,http://phimbathu.com/nu-canh-sat-va-canh-khuyen-5023.html,SQuirrel,,,5,
377,Hoa lửa,,http://bilutv.com/phim/hoa-lua-3037.html,,,,39,
649,Cẩm Tú Vị Ương,chiếu 11/11/2016,http://bilutv.com/phim/cam-tu-vi-uong-1229.html,,,,44,
650,Xin Chào Kiều An,,https://www.facebook.com/media/set/?set=a.189380398185603.1073741835.141369136320063&type=3,,,,13,
626,Khế ước của quỷ,,http://bilutv.com/phim/khe-uoc-cua-quy-3359.html,hongthiennu,,,8,
625,Người thứ ba,,http://bilutv.com/phim/nguoi-thu-ba-3360.html,,,,,xong
624,Người một nhà,,http://bilutv.com/phim/nguoi-mot-nha-3335.html,,,,ep2,
623,Dư tội,,http://bilutv.com/phim/du-toi-3016.html,,,,,xong
669,Bình Lý Hồ,,http://bilutv.com/phim/binh-ly-ho-3416.html,Đức,,,ep3,
753,Anh Hùng Lưu Manh,,http://bilutv.com/phim/anh-hung-luu-manh-2202.html,hongthiennu,,,,xong
,Cực Phẩm Gia Đình,,http://bilutv.com/phim/cuc-pham-gia-dinh-3474.html,,,,,
