ID,TÊN,LỊCH CHIẾU,,UPLOADER,DESIGNER,Chưa up,Đang up,Hoàn thành
,Những Cô Nàng Rắc Rối (2015),,http://bilutv.com/phim/nhung-co-nang-rac-roi-2015-2403.html,,,,,
,Tuổi Thanh Xuân,(để sau),http://www.phimmoi.net/phim/tuoi-thanh-xuan-2152/xem-phim.html,,,,,
,Tuổi Thanh Xuân 2,,http://phim14.net/phim/tuoi-thanh-xuan-phan-2.8506.html,,,,,
,Bản Năng Nguy Hiểm,,https://www.youtube.com/watch?v=Pz5gfWg-ilo,,,,,
,Ải Mỹ Nhân,,https://www.youtube.com/watch?v=2gFI1M8CDaE,,,,,
,Danh Vọng  Phù  Hoa,,https://www.youtube.com/watch?v=SoVCNWJKCHQ,,,,,
,Khu Vườn Bí Ẩn,,https://www.youtube.com/watch?v=nRKysR_u8lU,,,,,
668,Ngoại tình,,https://www.youtube.com/watch?v=s9TaVgGHqO8,hongthiennu,,,,xong
,Máu Chảy Về Tim,,https://www.youtube.com/watch?v=dD2pqC2FqgU,,,,,
,Bằng Chứng Vô Hình,,https://www.youtube.com/watch?v=jLgubX6BXv8,,,,,
,Chuyện Làng Bè,,https://www.youtube.com/watch?v=YUpGf0oiLE4,,,,,
,Quyến Rũ,,https://www.youtube.com/watch?v=54OMW2Ky4rk,,,,,
,Chuyện Tình Đảo Ngọc,,https://www.youtube.com/watch?v=wuLSyiDHJzQ&list=PLzRKj0jD-GZbC8XnruCrCWgNSP78zykId,,,,,
,Đô La Trắng,,https://www.youtube.com/watch?v=tRQD--dCZUU,,,,,
708,Chuyện Tình Mùa Thu,,https://www.youtube.com/watch?v=aIFAhUxysNo,hongthiennu,,,,xong
,Già Néo Đứt Dây,,https://www.youtube.com/playlist?list=PLy_TpcUT2LZufJRdBlOgh6Pent0qdeP0v,,,,,
819,Khi Đàn Ông Là Số 0,hát sóng 20:00 Thứ 5 - Thứ 6 ,https://www.youtube.com/watch?v=KLQ4wTXYF7o&list=PLxKLMN7WdG5ANb7D-EhFMh5H4rfqS-JMS,,,,2,
