ID,TÊN,LỊCH CHIẾU,,UPLOADER,DESIGNER,Chưa up,Đang up,Hoàn thành
572,The Strain: Bad White (Season 3),,http://www.phimmoi.net/phim/benh-dich-ma-ca-rong-chung-virus-phan-3-4108/,,,,,xong
575,Quantico (Season 2),,http://www.phimmoi.net/phim/hoc-vien-diep-vien-phan-2-4210/,,,,,xong
577,Marvel's Luke Cage,,http://www.phimmoi.net/phim/marvel-s-luke-cage-4244/,,,,,xong
563,Scorpion (Season 3),24 tập,http://www.phimmoi.net/phim/bo-cap-phan-3-4275/,,,,ep 8,
564,Marvel's Agents Of S.H.I.E.L.D 4,22 tập,http://www.phimmoi.net/phim/doi-dac-nhiem-shield-phan-4-4165/,,,,ep 6,
565,Shameless (Season 7),,http://www.phimmoi.net/phim/mat-day-phan-7-4276/,,,,ep 8,
566,The Flash (Season 3),,http://www.phimmoi.net/phim/nguoi-hung-tia-chop-phan-3-4269/,,,,ep 7,
567,2 Broke Girls (Season 5),,http://www.phimmoi.net/phim/2-nang-ba-dao-phan-6-4373/,,,,ep 4,
568,Once Upon A Time (Season 6),,http://www.phimmoi.net/phim/ngay-xua-ngay-xua-phan-6-4213/,,,,ep 8,
569,Supergirl (Season 2,,http://www.phimmoi.net/phim/nu-sieu-nhan-phan-2-4267/,,,,ep 7,
570,Westworld (Season 1),,http://www.phimmoi.net/phim/westworld-season-1-4232/,,Lâm,,ep 8,
571,Eyewitness (Season 1),,http://www.phimmoi.net/phim/nhan-chung-phan-1-4385/,,Lâm,,ep 6,
573,Gotham (Season 3),,http://www.phimmoi.net/phim/thanh-pho-toi-loi-phan-3-4149/,,,,ep 10,
574,The Vampire Diaries (Season 8),,http://www.phimmoi.net/phim/nhat-ky-ma-ca-rong-phan-8-4424/,,,,ep 4,
576,Lucifer (Season 2),,http://www.phimmoi.net/phim/chua-te-dia-nguc-phan-2-4132/,,,,ep 9,
662,Flesh and Bone (Season 1),,http://bilutv.com/phim/mau-va-xuong-phan-1-3381.html,,,,ep 3,
737,The Crown,,http://bilutv.com/phim/hoang-quyen-phan-1-3358.html,hongthiennu,,,ep 4,
739,Khắc Tinh Ma Cà Rồng,,http://bilutv.com/phim/khac-tinh-ma-ca-rong-phan-1-3206.html,hongthiennu,,,ep 11,
738,Thác Nước Bí Ẩn,,http://phimbathu.com/thac-nuoc-bi-an-4969.html,hongthiennu,,,ep 6,
740,Loài Người Nhân Tạo Phần 2,,http://bilutv.com/phim/loai-nguoi-nhan-tao-phan-2-3299.html,hongthiennu,,,ep 4,
741,Stan Chống Quỷ Dữ ,,http://bilutv.com/phim/stan-chong-quy-du-3303.html,hongthiennu,,,ep 5,
750,Khoai To ,,http://www.worldsubteam.com/phu-de-viet-ngu-hung-khoai-to-phan-2/,hongthiennu,,,ep 10,
751,Hội Thợ Săn,,http://phimbathu.com/hoi-tho-san-2911.html,hongthiennu,,,ep 5,
765,Supernatural,,http://phimbathu.com/sieu-nhien-phan-12-4948.html,hongthiennu,,,ep 6,
